STATE,SEX,AGEGRP,NMEMB,YEAR
Alabama,1,00_04,9855,2010
Alabama,2,00_04,9401,2010
Alabama,1,05_09,12284,2010
Alabama,2,05_09,11859,2010
Alabama,1,10_19,28608,2010
Alabama,2,10_19,27619,2010
Alabama,1,20_29,18669,2010
Alabama,2,20_29,20648,2010
Alabama,1,30_39,28085,2010
Alabama,2,30_39,30770,2010
Alabama,1,40_49,33641,2010
Alabama,2,40_49,37771,2010
Alabama,1,50_59,37294,2010
Alabama,2,50_59,41450,2010
Alabama,1,60_69,13140,2010
Alabama,2,60_69,14043,2010
Alaska,1,00_04,1090,2010
Alaska,2,00_04,1005,2010
Alaska,1,05_09,1156,2010
Alaska,2,05_09,1061,2010
Alaska,1,10_19,2661,2010
Alaska,2,10_19,2500,2010
Alaska,1,20_29,1946,2010
Alaska,2,20_29,2380,2010
Alaska,1,30_39,2245,2010
Alaska,2,30_39,2749,2010
Alaska,1,40_49,2777,2010
Alaska,2,40_49,3303,2010
Alaska,1,50_59,2959,2010
Alaska,2,50_59,3286,2010
Alaska,1,60_69,686,2010
Alaska,2,60_69,695,2010
Arizona,1,00_04,16029,2010
Arizona,2,00_04,15187,2010
Arizona,1,05_09,17029,2010
Arizona,2,05_09,15952,2010
Arizona,1,10_19,33738,2010
Arizona,2,10_19,32953,2010
Arizona,1,20_29,24918,2010
Arizona,2,20_29,28774,2010
Arizona,1,30_39,33303,2010
Arizona,2,30_39,35574,2010
Arizona,1,40_49,34251,2010
Arizona,2,40_49,36631,2010
Arizona,1,50_59,30992,2010
Arizona,2,50_59,36314,2010
Arizona,1,60_69,12217,2010
Arizona,2,60_69,13821,2010
Arkansas,1,00_04,5138,2010
Arkansas,2,00_04,4789,2010
Arkansas,1,05_09,6638,2010
Arkansas,2,05_09,6651,2010
Arkansas,1,10_19,15587,2010
Arkansas,2,10_19,15027,2010
Arkansas,1,20_29,9719,2010
Arkansas,2,20_29,9856,2010
Arkansas,1,30_39,14851,2010
Arkansas,2,30_39,14965,2010
Arkansas,1,40_49,18763,2010
Arkansas,2,40_49,18027,2010
Arkansas,1,50_59,16805,2010
Arkansas,2,50_59,16882,2010
Arkansas,1,60_69,5537,2010
Arkansas,2,60_69,5722,2010
California,1,00_04,130202,2010
California,2,00_04,123599,2010
California,1,05_09,145466,2010
California,2,05_09,138518,2010
California,1,10_19,337936,2010
California,2,10_19,326189,2010
California,1,20_29,208773,2010
California,2,20_29,229877,2010
California,1,30_39,284510,2010
California,2,30_39,323482,2010
California,1,40_49,353579,2010
California,2,40_49,393946,2010
California,1,50_59,363406,2010
California,2,50_59,412281,2010
California,1,60_69,125659,2010
California,2,60_69,137096,2010
Colorado,1,00_04,13674,2010
Colorado,2,00_04,13205,2010
Colorado,1,05_09,15528,2010
