STATE,SEX,AGEGRP,NMEMB
Alabama,1,00_04,6546
Alabama,2,00_04,6500
Alabama,1,05_09,8019
Alabama,2,05_09,7886
Alabama,1,10_19,20170
Alabama,2,10_19,19532
Alabama,1,20_29,20736
Alabama,2,20_29,20882
Alabama,1,30_39,19423
Alabama,2,30_39,21813
Alabama,1,40_49,23556
Alabama,2,40_49,24607
Alabama,1,50_59,27325
Alabama,2,50_59,30151
Alabama,1,60_69,11602
Alabama,2,60_69,13087
Alaska,1,00_04,647
Alaska,2,00_04,674
Alaska,1,05_09,804
Alaska,2,05_09,663
Alaska,1,10_19,1522
Alaska,2,10_19,1456
Alaska,1,20_29,1753
Alaska,2,20_29,1734
Alaska,1,30_39,1762
Alaska,2,30_39,1665
Alaska,1,40_49,1526
Alaska,2,40_49,1516
Alaska,1,50_59,1699
Alaska,2,50_59,1686
Alaska,1,60_69,596
Alaska,2,60_69,572
Arizona,1,00_04,11804
Arizona,2,00_04,11160
Arizona,1,05_09,14205
Arizona,2,05_09,13427
Arizona,1,10_19,29532
Arizona,2,10_19,28209
Arizona,1,20_29,25859
Arizona,2,20_29,26777
Arizona,1,30_39,26267
Arizona,2,30_39,28289
Arizona,1,40_49,28918
Arizona,2,40_49,30246
Arizona,1,50_59,29399
Arizona,2,50_59,31672
Arizona,1,60_69,10352
Arizona,2,60_69,11780
Arkansas,1,00_04,3130
Arkansas,2,00_04,2979
Arkansas,1,05_09,3747
Arkansas,2,05_09,3508
Arkansas,1,10_19,8548
Arkansas,2,10_19,8405
Arkansas,1,20_29,8303
Arkansas,2,20_29,8367
Arkansas,1,30_39,8403
Arkansas,2,30_39,8998
Arkansas,1,40_49,9353
Arkansas,2,40_49,10066
Arkansas,1,50_59,9999
Arkansas,2,50_59,10607
Arkansas,1,60_69,3679
Arkansas,2,60_69,4212
California,1,00_04,42221
California,2,00_04,40011
California,1,05_09,47556
California,2,05_09,45607
California,1,10_19,96025
California,2,10_19,92701
California,1,20_29,97804
California,2,20_29,97426
California,1,30_39,102097
California,2,30_39,113269
California,1,40_49,109635
California,2,40_49,118514
California,1,50_59,116517
California,2,50_59,125729
California,1,60_69,44800
California,2,60_69,49494
Colorado,1,00_04,9275
Colorado,2,00_04,8759
Colorado,1,05_09,10868
Colorado,2,05_09,10146
Colorado,1,10_19,22696
Colorado,2,10_19,21477
Colorado,1,20_29,21205
Colorado,2,20_29,21116
Colorado,1,30_39,23369
Colorado,2,30_39,24748
Colorado,1,40_49,24893
Colorado,2,40_49,25522
Colorado,1,50_59,26328
Colorado,2,50_59,27750
Colorado,1,60_69,9984
Colorado,2,60_69,10220
Connecticut,1,00_04,5326
Connecticut,2,00_04,4888
Connecticut,1,05_09,6250
Connecticut,2,05_09,6150
Connecticut,1,10_19,15371
Connecticut,2,10_19,14714
Connecticut,1,20_29,16045
Connecticut,2,20_29,13440
Connecticut,1,30_39,14002
Connecticut,2,30_39,12445
Connecticut,1,40_49,16389
Connecticut,2,40_49,16447
Connecticut,1,50_59,22754
Connecticut,2,50_59,22080
Connecticut,1,60_69,8598
Connecticut,2,60_69,7895
Delaware,1,00_04,3874
Delaware,2,00_04,3702
Delaware,1,05_09,4613
Delaware,2,05_09,4381
Delaware,1,10_19,10490
Delaware,2,10_19,9979
Delaware,1,20_29,8828
Delaware,2,20_29,9684
Delaware,1,30_39,7633
Delaware,2,30_39,9893
Delaware,1,40_49,9401
Delaware,2,40_49,11952
Delaware,1,50_59,11221
Delaware,2,50_59,14144
Delaware,1,60_69,4791
Delaware,2,60_69,6085
Florida,1,00_04,32767
Florida,2,00_04,31191
Florida,1,05_09,39774
Florida,2,05_09,38172
Florida,1,10_19,92351
Florida,2,10_19,89439
Florida,1,20_29,95480
Florida,2,20_29,102602
Florida,1,30_39,91900
Florida,2,30_39,111738
Florida,1,40_49,110336
Florida,2,40_49,130264
Florida,1,50_59,125734
Florida,2,50_59,150071
Florida,1,60_69,47964
Florida,2,60_69,59340
Georgia,1,00_04,24639
Georgia,2,00_04,23681
Georgia,1,05_09,31149
Georgia,2,05_09,30005
Georgia,1,10_19,76192
Georgia,2,10_19,73357
Georgia,1,20_29,63431
Georgia,2,20_29,72686
Georgia,1,30_39,58346
Georgia,2,30_39,82348
Georgia,1,40_49,79173
Georgia,2,40_49,106082
Georgia,1,50_59,86093
Georgia,2,50_59,114363
Georgia,1,60_69,36931
Georgia,2,60_69,51145
Hawaii,1,00_04,28
Hawaii,2,00_04,20
Hawaii,1,05_09,59
Hawaii,2,05_09,43
Hawaii,1,10_19,145
Hawaii,2,10_19,132
Hawaii,1,20_29,124
Hawaii,2,20_29,138
Hawaii,1,30_39,69
Hawaii,2,30_39,65
Hawaii,1,40_49,135
Hawaii,2,40_49,168
Hawaii,1,50_59,203
Hawaii,2,50_59,279
Hawaii,1,60_69,181
Hawaii,2,60_69,201
Idaho,1,00_04,8329
Idaho,2,00_04,8443
Idaho,1,05_09,10703
Idaho,2,05_09,10503
Idaho,1,10_19,24447
Idaho,2,10_19,23427
Idaho,1,20_29,20878
Idaho,2,20_29,21237
Idaho,1,30_39,21167
Idaho,2,30_39,22792
Idaho,1,40_49,23712
Idaho,2,40_49,25539
Idaho,1,50_59,26338
Idaho,2,50_59,29530
Idaho,1,60_69,11793
Idaho,2,60_69,13132
Illinois,1,00_04,17351
Illinois,2,00_04,16482
Illinois,1,05_09,20199
Illinois,2,05_09,19457
Illinois,1,10_19,47578
Illinois,2,10_19,45218
Illinois,1,20_29,46240
Illinois,2,20_29,42594
Illinois,1,30_39,43095
Illinois,2,30_39,42700
Illinois,1,40_49,49054
Illinois,2,40_49,50094
Illinois,1,50_59,57165
Illinois,2,50_59,60673
Illinois,1,60_69,23253
Illinois,2,60_69,24597
Indiana,1,00_04,11861
Indiana,2,00_04,11231
Indiana,1,05_09,14507
Indiana,2,05_09,13860
Indiana,1,10_19,34967
Indiana,2,10_19,33712
Indiana,1,20_29,31729
Indiana,2,20_29,31183
Indiana,1,30_39,27988
Indiana,2,30_39,30498
Indiana,1,40_49,34243
Indiana,2,40_49,36676
Indiana,1,50_59,40078
Indiana,2,50_59,45182
Indiana,1,60_69,18454
Indiana,2,60_69,20283
Iowa,1,00_04,4865
Iowa,2,00_04,4622
Iowa,1,05_09,5500
Iowa,2,05_09,5114
Iowa,1,10_19,11091
Iowa,2,10_19,10687
Iowa,1,20_29,11186
Iowa,2,20_29,11589
Iowa,1,30_39,11519
Iowa,2,30_39,11774
Iowa,1,40_49,11434
Iowa,2,40_49,11122
Iowa,1,50_59,11557
Iowa,2,50_59,12107
Iowa,1,60_69,4465
Iowa,2,60_69,4415
Kansas,1,00_04,4924
Kansas,2,00_04,4816
Kansas,1,05_09,5873
Kansas,2,05_09,5628
Kansas,1,10_19,13027
Kansas,2,10_19,12587
Kansas,1,20_29,11966
Kansas,2,20_29,12295
Kansas,1,30_39,10806
Kansas,2,30_39,11486
Kansas,1,40_49,11572
Kansas,2,40_49,12078
Kansas,1,50_59,14366
Kansas,2,50_59,15035
Kansas,1,60_69,5364
Kansas,2,60_69,5623
Kentucky,1,00_04,12603
Kentucky,2,00_04,11851
Kentucky,1,05_09,15109
Kentucky,2,05_09,14590
Kentucky,1,10_19,35422
Kentucky,2,10_19,34176
Kentucky,1,20_29,28331
Kentucky,2,20_29,31638
Kentucky,1,30_39,25646
Kentucky,2,30_39,35185
Kentucky,1,40_49,34135
Kentucky,2,40_49,45464
Kentucky,1,50_59,39683
Kentucky,2,50_59,53716
Kentucky,1,60_69,18051
