PRIMARYCOND,MONTH,STATE,SEX,AGEGRP,NVISITS,YEAR
Strep pharyngitis,1,Alabama,1,00_04,84,2010
Strep pharyngitis,2,Alabama,1,00_04,126,2010
Strep pharyngitis,3,Alabama,1,00_04,159,2010
Strep pharyngitis,4,Alabama,1,00_04,140,2010
Strep pharyngitis,5,Alabama,1,00_04,128,2010
Strep pharyngitis,6,Alabama,1,00_04,122,2010
Strep pharyngitis,7,Alabama,1,00_04,70,2010
Strep pharyngitis,8,Alabama,1,00_04,91,2010
Strep pharyngitis,9,Alabama,1,00_04,121,2010
Strep pharyngitis,10,Alabama,1,00_04,126,2010
Strep pharyngitis,11,Alabama,1,00_04,159,2010
Strep pharyngitis,12,Alabama,1,00_04,195,2010
Strep pharyngitis,1,Alabama,2,00_04,84,2010
Strep pharyngitis,2,Alabama,2,00_04,100,2010
Strep pharyngitis,3,Alabama,2,00_04,144,2010
Strep pharyngitis,4,Alabama,2,00_04,125,2010
Strep pharyngitis,5,Alabama,2,00_04,106,2010
Strep pharyngitis,6,Alabama,2,00_04,95,2010
Strep pharyngitis,7,Alabama,2,00_04,58,2010
Strep pharyngitis,8,Alabama,2,00_04,67,2010
Strep pharyngitis,9,Alabama,2,00_04,96,2010
Strep pharyngitis,10,Alabama,2,00_04,119,2010
Strep pharyngitis,11,Alabama,2,00_04,137,2010
Strep pharyngitis,12,Alabama,2,00_04,211,2010
Strep pharyngitis,1,Alabama,1,05_09,260,2010
Strep pharyngitis,2,Alabama,1,05_09,340,2010
Strep pharyngitis,3,Alabama,1,05_09,375,2010
Strep pharyngitis,4,Alabama,1,05_09,262,2010
Strep pharyngitis,5,Alabama,1,05_09,246,2010
Strep pharyngitis,6,Alabama,1,05_09,89,2010
Strep pharyngitis,7,Alabama,1,05_09,49,2010
Strep pharyngitis,8,Alabama,1,05_09,103,2010
Strep pharyngitis,9,Alabama,1,05_09,164,2010
Strep pharyngitis,10,Alabama,1,05_09,185,2010
Strep pharyngitis,11,Alabama,1,05_09,231,2010
Strep pharyngitis,12,Alabama,1,05_09,295,2010
Strep pharyngitis,1,Alabama,2,05_09,226,2010
Strep pharyngitis,2,Alabama,2,05_09,328,2010
Strep pharyngitis,3,Alabama,2,05_09,342,2010
Strep pharyngitis,4,Alabama,2,05_09,262,2010
Strep pharyngitis,5,Alabama,2,05_09,256,2010
Strep pharyngitis,6,Alabama,2,05_09,100,2010
Strep pharyngitis,7,Alabama,2,05_09,58,2010
Strep pharyngitis,8,Alabama,2,05_09,117,2010
Strep pharyngitis,9,Alabama,2,05_09,159,2010
Strep pharyngitis,10,Alabama,2,05_09,207,2010
Strep pharyngitis,11,Alabama,2,05_09,231,2010
Strep pharyngitis,12,Alabama,2,05_09,300,2010
Strep pharyngitis,1,Alabama,1,10_19,128,2010
Strep pharyngitis,2,Alabama,1,10_19,161,2010
Strep pharyngitis,3,Alabama,1,10_19,174,2010
Strep pharyngitis,4,Alabama,1,10_19,133,2010
Strep pharyngitis,5,Alabama,1,10_19,113,2010
Strep pharyngitis,6,Alabama,1,10_19,58,2010
Strep pharyngitis,7,Alabama,1,10_19,35,2010
Strep pharyngitis,8,Alabama,1,10_19,71,2010
