COND2,MONTH,STATE,SEX,AGEGRP,NVISITS
Acute sinusitis,1,Alabama,1,00_04,37
Bacterial pneumonia,1,Alabama,1,00_04,5
GI infections,1,Alabama,1,00_04,5
Influenza,1,Alabama,1,00_04,64
Other pharyngitis,1,Alabama,1,00_04,97
Other/None,1,Alabama,1,00_04,4816
Otitis media,1,Alabama,1,00_04,172
SSTIs,1,Alabama,1,00_04,6
Strep pharyngitis,1,Alabama,1,00_04,13
UTIs,1,Alabama,1,00_04,2
Viral pneumonia,1,Alabama,1,00_04,1
Acute sinusitis,2,Alabama,1,00_04,28
Bacterial pneumonia,2,Alabama,1,00_04,6
GI infections,2,Alabama,1,00_04,5
Influenza,2,Alabama,1,00_04,47
Other pharyngitis,2,Alabama,1,00_04,87
Other/None,2,Alabama,1,00_04,3993
Otitis media,2,Alabama,1,00_04,127
SSTIs,2,Alabama,1,00_04,4
Strep pharyngitis,2,Alabama,1,00_04,12
UTIs,2,Alabama,1,00_04,5
Viral pneumonia,2,Alabama,1,00_04,1
Acute sinusitis,3,Alabama,1,00_04,37
Bacterial pneumonia,3,Alabama,1,00_04,3
GI infections,3,Alabama,1,00_04,5
Influenza,3,Alabama,1,00_04,7
Other pharyngitis,3,Alabama,1,00_04,75
Other/None,3,Alabama,1,00_04,4006
Otitis media,3,Alabama,1,00_04,151
SSTIs,3,Alabama,1,00_04,8
Strep pharyngitis,3,Alabama,1,00_04,7
UTIs,3,Alabama,1,00_04,2
Acute sinusitis,4,Alabama,1,00_04,35
Bacterial pneumonia,4,Alabama,1,00_04,1
GI infections,4,Alabama,1,00_04,6
Influenza,4,Alabama,1,00_04,3
Other pharyngitis,4,Alabama,1,00_04,73
Other/None,4,Alabama,1,00_04,3898
Otitis media,4,Alabama,1,00_04,121
SSTIs,4,Alabama,1,00_04,8
Strep pharyngitis,4,Alabama,1,00_04,4
UTIs,4,Alabama,1,00_04,2
Acute sinusitis,5,Alabama,1,00_04,33
Bacterial pneumonia,5,Alabama,1,00_04,5
GI infections,5,Alabama,1,00_04,5
Other pharyngitis,5,Alabama,1,00_04,54
Other/None,5,Alabama,1,00_04,3840
Otitis media,5,Alabama,1,00_04,105
SSTIs,5,Alabama,1,00_04,22
Strep pharyngitis,5,Alabama,1,00_04,10
UTIs,5,Alabama,1,00_04,1
Acute sinusitis,6,Alabama,1,00_04,14
Bacterial pneumonia,6,Alabama,1,00_04,2
GI infections,6,Alabama,1,00_04,6
Other pharyngitis,6,Alabama,1,00_04,47
Other/None,6,Alabama,1,00_04,3432
Otitis media,6,Alabama,1,00_04,54
SSTIs,6,Alabama,1,00_04,20
Strep pharyngitis,6,Alabama,1,00_04,5
UTIs,6,Alabama,1,00_04,1
Acute sinusitis,7,Alabama,1,00_04,13
Bacterial pneumonia,7,Alabama,1,00_04,2
GI infections,7,Alabama,1,00_04,3
Influenza,7,Alabama,1,00_04,1
Other pharyngitis,7,Alabama,1,00_04,51
Other/None,7,Alabama,1,00_04,3496
Otitis media,7,Alabama,1,00_04,60
SSTIs,7,Alabama,1,00_04,23
Strep pharyngitis,7,Alabama,1,00_04,11
Acute sinusitis,8,Alabama,1,00_04,33
Bacterial pneumonia,8,Alabama,1,00_04,3
GI infections,8,Alabama,1,00_04,1
Influenza,8,Alabama,1,00_04,1
Other pharyngitis,8,Alabama,1,00_04,68
Other/None,8,Alabama,1,00_04,4016
Otitis media,8,Alabama,1,00_04,92
SSTIs,8,Alabama,1,00_04,15
Strep pharyngitis,8,Alabama,1,00_04,7
Acute sinusitis,9,Alabama,1,00_04,41
Bacterial pneumonia,9,Alabama,1,00_04,2
GI infections,9,Alabama,1,00_04,7
Influenza,9,Alabama,1,00_04,2
Other pharyngitis,9,Alabama,1,00_04,87
Other/None,9,Alabama,1,00_04,3805
Otitis media,9,Alabama,1,00_04,98
SSTIs,9,Alabama,1,00_04,23
Strep pharyngitis,9,Alabama,1,00_04,14
UTIs,9,Alabama,1,00_04,1
Acute sinusitis,10,Alabama,1,00_04,41
Bacterial pneumonia,10,Alabama,1,00_04,7
GI infections,10,Alabama,1,00_04,4
Influenza,10,Alabama,1,00_04,1
Other pharyngitis,10,Alabama,1,00_04,87
Other/None,10,Alabama,1,00_04,4973
Otitis media,10,Alabama,1,00_04,158
SSTIs,10,Alabama,1,00_04,14
Strep pharyngitis,10,Alabama,1,00_04,14
UTIs,10,Alabama,1,00_04,1
Acute sinusitis,11,Alabama,1,00_04,45
Bacterial pneumonia,11,Alabama,1,00_04,1
GI infections,11,Alabama,1,00_04,5
Influenza,11,Alabama,1,00_04,4
Other pharyngitis,11,Alabama,1,00_04,100
Other/None,11,Alabama,1,00_04,4379
Otitis media,11,Alabama,1,00_04,175
SSTIs,11,Alabama,1,00_04,9
Strep pharyngitis,11,Alabama,1,00_04,15
UTIs,11,Alabama,1,00_04,1
Acute sinusitis,12,Alabama,1,00_04,44
Bacterial pneumonia,12,Alabama,1,00_04,7
GI infections,12,Alabama,1,00_04,2
Influenza,12,Alabama,1,00_04,11
Other pharyngitis,12,Alabama,1,00_04,91
Other/None,12,Alabama,1,00_04,3671
Otitis media,12,Alabama,1,00_04,141
SSTIs,12,Alabama,1,00_04,9
Strep pharyngitis,12,Alabama,1,00_04,11
