State,Phase(95% CI)
Alabama,1.4 (1.09-1.7)
Arizona,1.82 (1.49-2.15)
Arkansas,1.37 (0.99-1.74)
California,2.35 (2.06-2.63)
Colorado,1.63 (1.39-1.88)
Connecticut,2.61 (2.42-2.8)
Delaware,2.41 (2.1-2.73)
Florida,2.17 (1.78-2.56)
Georgia,1.55 (1.2-1.91)
Idaho,1.45 (1.17-1.73)
Illinois,2.22 (1.97-2.47)
Indiana,1.97 (1.74-2.21)
Iowa,2.04 (1.78-2.3)
Kansas,1.9 (1.6-2.2)
Kentucky,1.65 (1.34-1.96)
Louisiana,0.81 (0.41-1.21)
Maine,2.38 (2.12-2.65)
Maryland,2.5 (2.26-2.73)
Massachusetts,2.7 (2.5-2.89)
Michigan,2.42 (2.15-2.69)
Minnesota,2.38 (2.12-2.64)
Mississippi,0.86 (0.43-1.3)
Missouri,1.79 (1.56-2.01)
Montana,1.45 (1.21-1.7)
Nebraska,1.95 (1.58-2.31)
Nevada,1.97 (1.43-2.52)
New Hampshire,2.54 (2.33-2.75)
New Jersey,2.66 (2.44-2.88)
New Mexico,1.65 (1.39-1.91)
New York,2.53 (2.35-2.71)
North Carolina,2.17 (1.91-2.44)
North Dakota,1.98 (1.54-2.43)
Ohio,2.2 (1.95-2.44)
Oklahoma,1.44 (1.11-1.78)
Oregon,2.45 (2.12-2.78)
Pennsylvania,2.53 (2.32-2.74)
Rhode Island,2.64 (2.37-2.91)
South Dakota,1.98 (1.64-2.33)
Tennessee,1.67 (1.4-1.95)
Texas,1.57 (1.29-1.85)
Utah,1.69 (1.49-1.88)
Vermont,2.17 (1.79-2.55)
Virginia,2.46 (2.2-2.71)
Washington,2.31 (1.97-2.65)
Washington DC,2.74 (2.22-3.27)
West Virginia,1.88 (1.54-2.22)
Wisconsin,2.44 (2.19-2.69)
Wyoming,1.42 (1.07-1.78)
