State,Phase(95% CI)
Alabama,1.31 (1.03-1.59)
Arizona,1.76 (1.45-2.07)
Arkansas,1.32 (0.97-1.68)
California,2.3 (2.02-2.58)
Colorado,1.59 (1.37-1.81)
Connecticut,2.54 (2.36-2.71)
Delaware,2.3 (2.01-2.58)
Florida,2.09 (1.71-2.47)
Georgia,1.4 (1.07-1.73)
Idaho,1.46 (1.21-1.71)
Illinois,2.13 (1.9-2.37)
Indiana,1.86 (1.65-2.06)
Iowa,1.94 (1.7-2.18)
Kansas,1.82 (1.54-2.09)
Kentucky,1.49 (1.2-1.78)
Louisiana,0.8 (0.41-1.19)
Maine,2.39 (2.15-2.62)
Maryland,2.42 (2.21-2.63)
Massachusetts,2.62 (2.45-2.79)
Michigan,2.33 (2.11-2.55)
Minnesota,2.31 (2.11-2.51)
Mississippi,0.87 (0.49-1.26)
Missouri,1.71 (1.5-1.91)
Montana,1.47 (1.23-1.7)
Nebraska,1.89 (1.57-2.22)
Nevada,1.92 (1.4-2.44)
New Hampshire,2.47 (2.29-2.65)
New Jersey,2.62 (2.43-2.81)
New Mexico,1.59 (1.35-1.84)
New York,2.48 (2.32-2.64)
North Carolina,2.08 (1.85-2.32)
North Dakota,1.91 (1.51-2.31)
Ohio,2.08 (1.87-2.28)
Oklahoma,1.39 (1.08-1.69)
Oregon,2.37 (2.06-2.67)
Pennsylvania,2.42 (2.24-2.61)
Rhode Island,2.56 (2.3-2.81)
South Dakota,1.89 (1.57-2.21)
Tennessee,1.55 (1.29-1.8)
Texas,1.52 (1.24-1.8)
Utah,1.68 (1.51-1.85)
Vermont,2.16 (1.8-2.52)
Virginia,2.36 (2.13-2.59)
Washington,2.28 (1.95-2.6)
Washington DC,2.68 (2.18-3.17)
West Virginia,1.71 (1.41-2.01)
Wisconsin,2.39 (2.18-2.59)
Wyoming,1.41 (1.09-1.74)
