PRIMARYCOND,MONTH,STATE,SEX,AGEGRP,NVISITS,YEAR
Influenza,1,Alabama,1,00_04,34,2010
Influenza,2,Alabama,1,00_04,40,2010
Influenza,3,Alabama,1,00_04,41,2010
Influenza,4,Alabama,1,00_04,13,2010
Influenza,5,Alabama,1,00_04,6,2010
Influenza,6,Alabama,1,00_04,1,2010
Influenza,7,Alabama,1,00_04,3,2010
Influenza,8,Alabama,1,00_04,4,2010
Influenza,9,Alabama,1,00_04,2,2010
Influenza,10,Alabama,1,00_04,10,2010
Influenza,11,Alabama,1,00_04,36,2010
Influenza,12,Alabama,1,00_04,250,2010
Influenza,1,Alabama,2,00_04,26,2010
Influenza,2,Alabama,2,00_04,37,2010
Influenza,3,Alabama,2,00_04,46,2010
Influenza,4,Alabama,2,00_04,20,2010
Influenza,5,Alabama,2,00_04,7,2010
Influenza,6,Alabama,2,00_04,4,2010
Influenza,8,Alabama,2,00_04,2,2010
Influenza,9,Alabama,2,00_04,5,2010
Influenza,10,Alabama,2,00_04,9,2010
Influenza,11,Alabama,2,00_04,35,2010
Influenza,12,Alabama,2,00_04,242,2010
Influenza,1,Alabama,1,05_09,38,2010
Influenza,2,Alabama,1,05_09,48,2010
Influenza,3,Alabama,1,05_09,57,2010
Influenza,4,Alabama,1,05_09,5,2010
Influenza,5,Alabama,1,05_09,6,2010
Influenza,6,Alabama,1,05_09,2,2010
Influenza,7,Alabama,1,05_09,3,2010
Influenza,8,Alabama,1,05_09,3,2010
Influenza,9,Alabama,1,05_09,3,2010
Influenza,10,Alabama,1,05_09,10,2010
Influenza,11,Alabama,1,05_09,50,2010
Influenza,12,Alabama,1,05_09,374,2010
Influenza,1,Alabama,2,05_09,32,2010
Influenza,2,Alabama,2,05_09,40,2010
Influenza,3,Alabama,2,05_09,55,2010
Influenza,4,Alabama,2,05_09,3,2010
Influenza,5,Alabama,2,05_09,2,2010
Influenza,6,Alabama,2,05_09,1,2010
Influenza,8,Alabama,2,05_09,2,2010
Influenza,9,Alabama,2,05_09,3,2010
Influenza,10,Alabama,2,05_09,9,2010
Influenza,11,Alabama,2,05_09,45,2010
Influenza,12,Alabama,2,05_09,375,2010
Influenza,1,Alabama,1,10_19,55,2010
Influenza,2,Alabama,1,10_19,58,2010
Influenza,3,Alabama,1,10_19,83,2010
Influenza,4,Alabama,1,10_19,10,2010
Influenza,5,Alabama,1,10_19,5,2010
Influenza,6,Alabama,1,10_19,1,2010
Influenza,7,Alabama,1,10_19,4,2010
Influenza,8,Alabama,1,10_19,8,2010
Influenza,9,Alabama,1,10_19,7,2010
Influenza,10,Alabama,1,10_19,6,2010
Influenza,11,Alabama,1,10_19,44,2010
Influenza,12,Alabama,1,10_19,350,2010
Influenza,1,Alabama,2,10_19,52,2010
Influenza,2,Alabama,2,10_19,57,2010
Influenza,3,Alabama,2,10_19,55,2010
Influenza,4,Alabama,2,10_19,13,2010
Influenza,5,Alabama,2,10_19,7,2010
Influenza,6,Alabama,2,10_19,3,2010
Influenza,7,Alabama,2,10_19,1,2010
Influenza,8,Alabama,2,10_19,8,2010
Influenza,9,Alabama,2,10_19,10,2010
Influenza,10,Alabama,2,10_19,10,2010
Influenza,11,Alabama,2,10_19,40,2010
Influenza,12,Alabama,2,10_19,311,2010
Influenza,1,Alabama,1,20_29,34,2010
Influenza,2,Alabama,1,20_29,37,2010
Influenza,3,Alabama,1,20_29,41,2010
Influenza,4,Alabama,1,20_29,15,2010
Influenza,5,Alabama,1,20_29,3,2010
Influenza,7,Alabama,1,20_29,1,2010
Influenza,8,Alabama,1,20_29,6,2010
Influenza,9,Alabama,1,20_29,5,2010
Influenza,10,Alabama,1,20_29,8,2010
Influenza,11,Alabama,1,20_29,14,2010
Influenza,12,Alabama,1,20_29,99,2010
Influenza,1,Alabama,2,20_29,43,2010
Influenza,2,Alabama,2,20_29,39,2010
Influenza,3,Alabama,2,20_29,64,2010
Influenza,4,Alabama,2,20_29,11,2010
Influenza,5,Alabama,2,20_29,9,2010
Influenza,6,Alabama,2,20_29,7,2010
Influenza,7,Alabama,2,20_29,1,2010
Influenza,8,Alabama,2,20_29,3,2010
Influenza,9,Alabama,2,20_29,6,2010
Influenza,10,Alabama,2,20_29,7,2010
Influenza,11,Alabama,2,20_29,19,2010
Influenza,12,Alabama,2,20_29,131,2010
Influenza,1,Alabama,1,30_39,40,2010
Influenza,2,Alabama,1,30_39,33,2010
Influenza,3,Alabama,1,30_39,42,2010
Influenza,4,Alabama,1,30_39,14,2010
Influenza,5,Alabama,1,30_39,7,2010
Influenza,6,Alabama,1,30_39,3,2010
Influenza,7,Alabama,1,30_39,5,2010
Influenza,8,Alabama,1,30_39,8,2010
Influenza,9,Alabama,1,30_39,9,2010
Influenza,10,Alabama,1,30_39,6,2010
Influenza,11,Alabama,1,30_39,20,2010
Influenza,12,Alabama,1,30_39,114,2010
Influenza,1,Alabama,2,30_39,42,2010
Influenza,2,Alabama,2,30_39,43,2010
Influenza,3,Alabama,2,30_39,55,2010
Influenza,4,Alabama,2,30_39,6,2010
Influenza,5,Alabama,2,30_39,8,2010
Influenza,6,Alabama,2,30_39,7,2010
Influenza,7,Alabama,2,30_39,9,2010
Influenza,8,Alabama,2,30_39,9,2010
Influenza,9,Alabama,2,30_39,5,2010
Influenza,10,Alabama,2,30_39,20,2010
Influenza,11,Alabama,2,30_39,21,2010
Influenza,12,Alabama,2,30_39,147,2010
Influenza,1,Alabama,1,40_49,23,2010
Influenza,2,Alabama,1,40_49,30,2010
Influenza,3,Alabama,1,40_49,55,2010
Influenza,4,Alabama,1,40_49,8,2010
Influenza,5,Alabama,1,40_49,8,2010
Influenza,6,Alabama,1,40_49,5,2010
Influenza,7,Alabama,1,40_49,4,2010
Influenza,8,Alabama,1,40_49,7,2010
Influenza,9,Alabama,1,40_49,7,2010
Influenza,10,Alabama,1,40_49,13,2010
Influenza,11,Alabama,1,40_49,10,2010
Influenza,12,Alabama,1,40_49,79,2010
Influenza,1,Alabama,2,40_49,51,2010
Influenza,2,Alabama,2,40_49,53,2010
Influenza,3,Alabama,2,40_49,71,2010
Influenza,4,Alabama,2,40_49,19,2010
Influenza,5,Alabama,2,40_49,9,2010
Influenza,6,Alabama,2,40_49,1,2010
Influenza,7,Alabama,2,40_49,4,2010
Influenza,8,Alabama,2,40_49,6,2010
Influenza,9,Alabama,2,40_49,12,2010
Influenza,10,Alabama,2,40_49,11,2010
Influenza,11,Alabama,2,40_49,23,2010
Influenza,12,Alabama,2,40_49,120,2010
Influenza,1,Alabama,1,50_59,18,2010
Influenza,2,Alabama,1,50_59,21,2010
Influenza,3,Alabama,1,50_59,28,2010
Influenza,4,Alabama,1,50_59,6,2010
Influenza,5,Alabama,1,50_59,4,2010
Influenza,6,Alabama,1,50_59,2,2010
Influenza,7,Alabama,1,50_59,3,2010
Influenza,8,Alabama,1,50_59,2,2010
Influenza,9,Alabama,1,50_59,6,2010
Influenza,10,Alabama,1,50_59,10,2010
Influenza,11,Alabama,1,50_59,11,2010
Influenza,12,Alabama,1,50_59,45,2010
Influenza,1,Alabama,2,50_59,28,2010
Influenza,2,Alabama,2,50_59,33,2010
Influenza,3,Alabama,2,50_59,52,2010
Influenza,4,Alabama,2,50_59,9,2010
Influenza,5,Alabama,2,50_59,4,2010
Influenza,6,Alabama,2,50_59,4,2010
Influenza,7,Alabama,2,50_59,2,2010
Influenza,8,Alabama,2,50_59,3,2010
Influenza,9,Alabama,2,50_59,7,2010
Influenza,10,Alabama,2,50_59,16,2010
Influenza,11,Alabama,2,50_59,8,2010
Influenza,12,Alabama,2,50_59,87,2010
Influenza,1,Alabama,1,60_69,5,2010
Influenza,2,Alabama,1,60_69,6,2010
