MONTH,STATE,SEX,AGEGRP,YEAR,PRIMARYCOND,NVISITS
1,Alabama,1,00_04,2010,Strep pharyngitis,84
1,Alabama,1,00_04,2011,Strep pharyngitis,140
1,Alabama,1,00_04,2012,Strep pharyngitis,98
1,Alabama,1,00_04,2013,Strep pharyngitis,59
1,Alabama,1,00_04,2014,Strep pharyngitis,68
1,Alabama,1,00_04,2015,Strep pharyngitis,65
1,Alabama,1,00_04,2016,Strep pharyngitis,70
1,Alabama,1,00_04,2017,Strep pharyngitis,109
1,Alabama,1,00_04,2018,Strep pharyngitis,76
1,Alabama,1,05_09,2010,Strep pharyngitis,260
1,Alabama,1,05_09,2011,Strep pharyngitis,276
1,Alabama,1,05_09,2012,Strep pharyngitis,186
1,Alabama,1,05_09,2013,Strep pharyngitis,158
1,Alabama,1,05_09,2014,Strep pharyngitis,220
1,Alabama,1,05_09,2015,Strep pharyngitis,152
1,Alabama,1,05_09,2016,Strep pharyngitis,145
1,Alabama,1,05_09,2017,Strep pharyngitis,215
1,Alabama,1,05_09,2018,Strep pharyngitis,165
1,Alabama,1,10_19,2010,Strep pharyngitis,128
1,Alabama,1,10_19,2011,Strep pharyngitis,168
1,Alabama,1,10_19,2012,Strep pharyngitis,119
1,Alabama,1,10_19,2013,Strep pharyngitis,111
1,Alabama,1,10_19,2014,Strep pharyngitis,119
1,Alabama,1,10_19,2015,Strep pharyngitis,120
1,Alabama,1,10_19,2016,Strep pharyngitis,103
1,Alabama,1,10_19,2017,Strep pharyngitis,152
1,Alabama,1,10_19,2018,Strep pharyngitis,168
1,Alabama,1,20_29,2010,Strep pharyngitis,18
1,Alabama,1,20_29,2011,Strep pharyngitis,28
1,Alabama,1,20_29,2012,Strep pharyngitis,29
1,Alabama,1,20_29,2013,Strep pharyngitis,31
1,Alabama,1,20_29,2014,Strep pharyngitis,33
1,Alabama,1,20_29,2015,Strep pharyngitis,32
1,Alabama,1,20_29,2016,Strep pharyngitis,42
1,Alabama,1,20_29,2017,Strep pharyngitis,38
1,Alabama,1,20_29,2018,Strep pharyngitis,60
1,Alabama,1,30_39,2010,Strep pharyngitis,29
1,Alabama,1,30_39,2011,Strep pharyngitis,54
1,Alabama,1,30_39,2012,Strep pharyngitis,22
1,Alabama,1,30_39,2013,Strep pharyngitis,40
1,Alabama,1,30_39,2014,Strep pharyngitis,24
1,Alabama,1,30_39,2015,Strep pharyngitis,26
1,Alabama,1,30_39,2016,Strep pharyngitis,26
1,Alabama,1,30_39,2017,Strep pharyngitis,42
1,Alabama,1,30_39,2018,Strep pharyngitis,37
1,Alabama,1,40_49,2010,Strep pharyngitis,21
1,Alabama,1,40_49,2011,Strep pharyngitis,37
1,Alabama,1,40_49,2012,Strep pharyngitis,8
1,Alabama,1,40_49,2013,Strep pharyngitis,22
1,Alabama,1,40_49,2014,Strep pharyngitis,26
