STATE,SEX,POPSIZE,AGEGRP
Alabama,1,150860,00_04
Alabama,2,144194,00_04
Alaska,1,28346,00_04
Alaska,2,26607,00_04
Arizona,1,221511,00_04
Arizona,2,212324,00_04
Arkansas,1,98246,00_04
Arkansas,2,93534,00_04
California,1,1283763,00_04
California,2,1228013,00_04
Colorado,1,173245,00_04
Colorado,2,163629,00_04
Connecticut,1,97647,00_04
Connecticut,2,93798,00_04
Delaware,1,28382,00_04
Delaware,2,27430,00_04
Washington DC,1,20585,00_04
Washington DC,2,19848,00_04
Florida,1,552054,00_04
Florida,2,529003,00_04
Georgia,1,338979,00_04
Georgia,2,326326,00_04
Hawaii,1,46668,00_04
Hawaii,2,44389,00_04
Idaho,1,58355,00_04
Idaho,2,56478,00_04
Illinois,1,408295,00_04
Illinois,2,392900,00_04
Indiana,1,215697,00_04
Indiana,2,205242,00_04
Iowa,1,100400,00_04
Iowa,2,96170,00_04
Kansas,1,102716,00_04
Kansas,2,98004,00_04
Kentucky,1,142062,00_04
Kentucky,2,134389,00_04
Louisiana,1,157642,00_04
Louisiana,2,152324,00_04
Maine,1,33298,00_04
Maine,2,32108,00_04
Maryland,1,187617,00_04
Maryland,2,180105,00_04
Massachusetts,1,187066,00_04
Massachusetts,2,178775,00_04
Michigan,1,295157,00_04
Michigan,2,280629,00_04
Minnesota,1,178616,00_04
Minnesota,2,170645,00_04
Mississippi,1,100654,00_04
Mississippi,2,97079,00_04
Missouri,1,192851,00_04
Missouri,2,183921,00_04
Montana,1,31021,00_04
Montana,2,29676,00_04
Nebraska,1,67062,00_04
Nebraska,2,62974,00_04
Nevada,1,91556,00_04
Nevada,2,87252,00_04
New Hampshire,1,33531,00_04
New Hampshire,2,32061,00_04
New Jersey,1,272239,00_04
New Jersey,2,261405,00_04
New Mexico,1,70556,00_04
New Mexico,2,67433,00_04
New York,1,601900,00_04
New York,2,574532,00_04
North Carolina,1,311288,00_04
North Carolina,2,299882,00_04
North Dakota,1,24524,00_04
North Dakota,2,24340,00_04
Ohio,1,356598,00_04
Ohio,2,339398,00_04
Oklahoma,1,135423,00_04
Oklahoma,2,130297,00_04
Oregon,1,118561,00_04
Oregon,2,112841,00_04
Pennsylvania,1,367290,00_04
Pennsylvania,2,350371,00_04
Rhode Island,1,28289,00_04
Rhode Island,2,26941,00_04
South Carolina,1,148363,00_04
South Carolina,2,144218,00_04
South Dakota,1,30615,00_04
South Dakota,2,29377,00_04
Tennessee,1,204457,00_04
Tennessee,2,196347,00_04
Texas,1,996070,00_04
Texas,2,955235,00_04
Utah,1,130873,00_04
Utah,2,124371,00_04
Vermont,1,15766,00_04
Vermont,2,14629,00_04
Virginia,1,262278,00_04
Virginia,2,250000,00_04
Washington,1,228403,00_04
Washington,2,217400,00_04
West Virginia,1,52472,00_04
West Virginia,2,50287,00_04
Wisconsin,1,176217,00_04
Wisconsin,2,168178,00_04
Wyoming,1,19649,00_04
Wyoming,2,18996,00_04
Alabama,1,156380,05_09
Alabama,2,149334,05_09
Alaska,1,26276,05_09
Alaska,2,25063,05_09
Arizona,1,231249,05_09
Arizona,2,224385,05_09
Arkansas,1,103613,05_09
Arkansas,2,97603,05_09
California,1,1295030,05_09
California,2,1240201,05_09
Colorado,1,179803,05_09
Colorado,2,173524,05_09
Connecticut,1,110043,05_09
Connecticut,2,104940,05_09
Delaware,1,28224,05_09
Delaware,2,28735,05_09
Washington DC,1,14999,05_09
Washington DC,2,15518,05_09
Florida,1,567479,05_09
Florida,2,543273,05_09
Georgia,1,362147,05_09
Georgia,2,340071,05_09
Hawaii,1,44115,05_09
Hawaii,2,40426,05_09
