STATE,SEX,AGEGRP,NMEMB
Alabama,1,00_04,7937
Alabama,2,00_04,7793
Alabama,1,05_09,10461
Alabama,2,05_09,9962
Alabama,1,10_19,27038
Alabama,2,10_19,26026
Alabama,1,20_29,24490
Alabama,2,20_29,24245
Alabama,1,30_39,24419
Alabama,2,30_39,26581
Alabama,1,40_49,30145
Alabama,2,40_49,31985
Alabama,1,50_59,34512
Alabama,2,50_59,37820
Alabama,1,60_69,12841
Alabama,2,60_69,13589
Alaska,1,00_04,832
Alaska,2,00_04,744
Alaska,1,05_09,975
Alaska,2,05_09,856
Alaska,1,10_19,2076
Alaska,2,10_19,2017
Alaska,1,20_29,2208
Alaska,2,20_29,2274
Alaska,1,30_39,2026
Alaska,2,30_39,2119
Alaska,1,40_49,2154
Alaska,2,40_49,2215
Alaska,1,50_59,2453
Alaska,2,50_59,2513
Alaska,1,60_69,682
Alaska,2,60_69,640
Arizona,1,00_04,12714
Arizona,2,00_04,12147
Arizona,1,05_09,15198
Arizona,2,05_09,14520
Arizona,1,10_19,31806
Arizona,2,10_19,30803
Arizona,1,20_29,27213
Arizona,2,20_29,27856
Arizona,1,30_39,30626
Arizona,2,30_39,31421
Arizona,1,40_49,32130
Arizona,2,40_49,32473
Arizona,1,50_59,30613
Arizona,2,50_59,33606
Arizona,1,60_69,10019
Arizona,2,60_69,11913
Arkansas,1,00_04,4290
Arkansas,2,00_04,4167
Arkansas,1,05_09,5431
Arkansas,2,05_09,5295
Arkansas,1,10_19,13188
Arkansas,2,10_19,12795
Arkansas,1,20_29,11834
Arkansas,2,20_29,11632
Arkansas,1,30_39,12573
Arkansas,2,30_39,12685
Arkansas,1,40_49,14533
Arkansas,2,40_49,14213
Arkansas,1,50_59,14417
Arkansas,2,50_59,14690
Arkansas,1,60_69,4613
Arkansas,2,60_69,4943
California,1,00_04,104245
California,2,00_04,99077
California,1,05_09,122474
California,2,05_09,116767
California,1,10_19,266845
California,2,10_19,256059
California,1,20_29,245517
California,2,20_29,245773
California,1,30_39,253474
California,2,30_39,277403
California,1,40_49,288955
California,2,40_49,306949
California,1,50_59,305632
California,2,50_59,330698
California,1,60_69,101416
California,2,60_69,112392
