COND2,MONTH,STATE,SEX,AGEGRP,NVISITS
Acute sinusitis,1,Alabama,1,00_04,27
Bacterial pneumonia,1,Alabama,1,00_04,5
Influenza,1,Alabama,1,00_04,3
Other pharyngitis,1,Alabama,1,00_04,38
Other/None,1,Alabama,1,00_04,6261
Otitis media,1,Alabama,1,00_04,100
SSTIs,1,Alabama,1,00_04,2
Acute sinusitis,2,Alabama,1,00_04,23
Bacterial pneumonia,2,Alabama,1,00_04,4
Influenza,2,Alabama,1,00_04,1
Other pharyngitis,2,Alabama,1,00_04,51
Other/None,2,Alabama,1,00_04,6186
Otitis media,2,Alabama,1,00_04,96
SSTIs,2,Alabama,1,00_04,6
Acute sinusitis,3,Alabama,1,00_04,28
Bacterial pneumonia,3,Alabama,1,00_04,1
Influenza,3,Alabama,1,00_04,9
Other pharyngitis,3,Alabama,1,00_04,32
Other/None,3,Alabama,1,00_04,5756
Otitis media,3,Alabama,1,00_04,73
SSTIs,3,Alabama,1,00_04,2
Acute sinusitis,4,Alabama,1,00_04,14
Bacterial pneumonia,4,Alabama,1,00_04,2
Influenza,4,Alabama,1,00_04,1
Other pharyngitis,4,Alabama,1,00_04,35
Other/None,4,Alabama,1,00_04,5445
Otitis media,4,Alabama,1,00_04,72
SSTIs,4,Alabama,1,00_04,4
UTIs,4,Alabama,1,00_04,2
Acute sinusitis,5,Alabama,1,00_04,31
Bacterial pneumonia,5,Alabama,1,00_04,7
Influenza,5,Alabama,1,00_04,4
Other pharyngitis,5,Alabama,1,00_04,46
Other/None,5,Alabama,1,00_04,5421
Otitis media,5,Alabama,1,00_04,66
SSTIs,5,Alabama,1,00_04,8
Acute sinusitis,6,Alabama,1,00_04,15
Bacterial pneumonia,6,Alabama,1,00_04,1
Other pharyngitis,6,Alabama,1,00_04,36
Other/None,6,Alabama,1,00_04,4603
Otitis media,6,Alabama,1,00_04,45
SSTIs,6,Alabama,1,00_04,4
Acute sinusitis,7,Alabama,1,00_04,21
Bacterial pneumonia,7,Alabama,1,00_04,3
Influenza,7,Alabama,1,00_04,1
Other pharyngitis,7,Alabama,1,00_04,35
Other/None,7,Alabama,1,00_04,4418
Otitis media,7,Alabama,1,00_04,37
SSTIs,7,Alabama,1,00_04,2
UTIs,7,Alabama,1,00_04,2
Acute sinusitis,8,Alabama,1,00_04,18
Bacterial pneumonia,8,Alabama,1,00_04,2
Other pharyngitis,8,Alabama,1,00_04,33
Other/None,8,Alabama,1,00_04,4851
Otitis media,8,Alabama,1,00_04,49
SSTIs,8,Alabama,1,00_04,7
Viral pneumonia,8,Alabama,1,00_04,1
