State,Date,lower_date,upper_date,cat
AL,2019-08-09,2019-08-05,2019-08-27,SchoolStart
AR,2019-08-13,2019-08-13,2019-08-14,SchoolStart
AZ,2019-08-03,2019-07-23,2019-08-07,SchoolStart
CA,2019-08-16,2019-08-05,2019-08-28,SchoolStart
CO,2019-08-13,2019-08-06,2019-08-20,SchoolStart
CT,2019-08-28,2019-08-26,2019-09-03,SchoolStart
DC,2019-08-26,2019-08-26,2019-08-26,SchoolStart
DE,2019-08-30,2019-08-22,2019-09-03,SchoolStart
FL,2019-08-12,2019-08-12,2019-08-19,SchoolStart
GA,2019-08-04,2019-08-01,2019-08-12,SchoolStart
IA,2019-08-24,2019-08-23,2019-08-26,SchoolStart
ID,2019-08-23,2019-08-19,2019-09-03,SchoolStart
IL,2019-08-19,2019-08-13,2019-09-03,SchoolStart
IN,2019-08-06,2019-07-24,2019-08-15,SchoolStart
KS,2019-08-12,2019-08-07,2019-08-15,SchoolStart
KY,2019-08-12,2019-08-07,2019-08-21,SchoolStart
LA,2019-08-10,2019-08-07,2019-08-15,SchoolStart
MA,2019-08-30,2019-08-26,2019-09-05,SchoolStart
MD,2019-09-03,2019-09-03,2019-09-03,SchoolStart
ME,2019-08-31,2019-08-28,2019-09-03,SchoolStart
MI,2019-08-31,2019-08-20,2019-09-03,SchoolStart
MN,2019-09-03,2019-09-03,2019-09-03,SchoolStart
MO,2019-08-12,2019-08-08,2019-08-15,SchoolStart
MS,2019-08-07,2019-08-06,2019-08-08,SchoolStart
MT,2019-08-27,2019-08-22,2019-09-03,SchoolStart
NC,2019-08-26,2019-08-26,2019-08-26,SchoolStart
ND,2019-08-22,2019-08-20,2019-08-27,SchoolStart
NE,2019-08-13,2019-08-08,2019-08-15,SchoolStart
NH,2019-08-28,2019-08-26,2019-09-04,SchoolStart
NJ,2019-09-04,2019-09-03,2019-09-09,SchoolStart
NM,2019-08-10,2019-08-05,2019-08-15,SchoolStart
NV,2019-08-18,2019-08-12,2019-08-26,SchoolStart
NY,2019-09-04,2019-09-04,2019-09-06,SchoolStart
OH,2019-08-17,2019-08-12,2019-08-22,SchoolStart
OK,2019-08-17,2019-08-09,2019-08-21,SchoolStart
OR,2019-09-01,2019-08-26,2019-09-05,SchoolStart
PA,2019-08-30,2019-08-26,2019-09-05,SchoolStart
RI,2019-08-30,2019-08-28,2019-09-05,SchoolStart
SC,2019-08-19,2019-08-19,2019-08-21,SchoolStart
SD,2019-08-21,2019-08-19,2019-08-28,SchoolStart
TN,2019-08-07,2019-08-01,2019-08-14,SchoolStart
TX,2019-08-17,2019-08-12,2019-08-26,SchoolStart
UT,2019-08-19,2019-08-12,2019-09-03,SchoolStart
VA,2019-08-27,2019-08-12,2019-09-03,SchoolStart
VT,2019-08-27,2019-08-26,2019-08-29,SchoolStart
WA,2019-09-01,2019-08-27,2019-09-05,SchoolStart
WI,2019-08-31,2019-08-12,2019-09-03,SchoolStart
WV,2019-08-17,2019-08-08,2019-08-26,SchoolStart
WY,2019-08-25,2019-08-19,2019-09-03,SchoolStart
